system:index,avg_rad,.geo
0_0,0.046027977,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.68480608036432,10.090326428872526]}"
1_0,0.14331986,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.54543786536934,34.816454624262356]}"
2_0,0.047233555,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.29092519414226,15.704796954619535]}"
3_0,0.20167267,"{""geodesic"":false,""type"":""Point"",""coordinates"":[68.59310930715637,28.344093002181204]}"
4_0,0.24854766,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.75380126846656,26.426189870586025]}"
5_0,0.06546291,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.69254074037146,16.944472046704476]}"
6_0,0.09992445,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.02491739549568,7.530127869131889]}"
7_0,0.1461853,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.79797093475413,30.47310022554447]}"
8_0,0.15633504,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.32672845955058,29.615209129210328]}"
9_0,0.15864034,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.59160212240938,31.721758470470604]}"
10_0,0.4891091,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.74643965741863,25.891692276534908]}"
11_0,0.04909104,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.46908106621919,10.454144118940931]}"
12_0,0.18629935,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.00370800622676,37.44851840673255]}"
13_0,0.050119102,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.64113880899242,9.528879376297825]}"
14_0,0.08954317,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.79247456850221,25.411093599530965]}"
15_0,0.0854773,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.91113578914393,12.538235578098222]}"
16_0,0.15190524,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.91998959602867,36.50977893482765]}"
17_0,0.46541235,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.35867188941043,30.145215146840844]}"
18_0,0.13458754,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.67882230810692,28.420449801331362]}"
19_0,0.054702416,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.79010692879054,13.117648936355312]}"
20_0,0.85977536,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.1780040427552,23.520139926459372]}"
21_0,0.82037824,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.37127117479736,26.64178553877471]}"
