system:index,avg_rad,.geo
0_0,0.40583333,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.26047396011923,34.66823260238264]}"
1_0,0.2625,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.1242344716645,7.220209096110654]}"
2_0,0.47416666,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.27532652817155,33.12762189011765]}"
3_0,0.35166666,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.69591316991445,6.321893811991133]}"
4_0,0.28666666,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.88443003362309,8.388018965466033]}"
5_0,0.37166667,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.16066947794494,30.356319238608933]}"
6_0,0.66583335,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.67021220422492,25.58626507993427]}"
7_0,0.32166666,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.26371704370575,20.05264292975802]}"
8_0,0.43416667,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.24388549322735,33.280335488417975]}"
9_0,0.3025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[68.9030280801776,12.237299957918182]}"
10_0,0.41833332,"{""geodesic"":false,""type"":""Point"",""coordinates"":[91.95379827068453,36.05612971634729]}"
11_0,1.4983333,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.61992941972349,11.936364337738143]}"
12_0,1.4191667,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.97426156203504,25.388635717427977]}"
13_0,0.38833332,"{""geodesic"":false,""type"":""Point"",""coordinates"":[95.80307926313667,34.852387235627134]}"
14_0,0.37166667,"{""geodesic"":false,""type"":""Point"",""coordinates"":[69.52735720264067,29.67809119909869]}"
15_0,0.2525,"{""geodesic"":false,""type"":""Point"",""coordinates"":[96.06808227195194,9.23692690895898]}"
16_0,0.2825,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.4129438554168,8.52276625808396]}"
17_0,0.32916665,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.51300702950401,8.006234969715235]}"
18_0,0.5225,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.40109066794828,17.658632697579495]}"
19_0,0.835,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.63789572540588,23.434799974468017]}"
20_0,0.28333333,"{""geodesic"":false,""type"":""Point"",""coordinates"":[68.32810629834111,12.27772414570356]}"
21_0,0.9458333,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.65137045466767,26.63729396235411]}"
22_0,0.26583332,"{""geodesic"":false,""type"":""Point"",""coordinates"":[96.72834400577977,9.713034009542326]}"
23_0,0.4075,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.28954735535174,27.930867971486222]}"
24_0,0.50666666,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.09853350597497,34.13373500833152]}"
25_0,2.0825,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.59372605911831,25.074225367986145]}"
26_0,0.27333334,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.1488162904764,10.642790328606031]}"
27_0,0.30916667,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.28667732072441,7.893945559200295]}"
28_0,0.29083332,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.23102751592751,19.801114650204553]}"
29_0,0.45583335,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.81793183118899,29.58825967068674]}"
30_0,0.42833334,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.34145168164645,15.399369758018898]}"
31_0,0.35083333,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.30751366103412,9.928629677731012]}"
