system:index,avg_rad,.geo
0_0,0.65166664,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.09890655493417,11.707293940287665]}"
1_0,0.13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.73097033740437,9.465997306409458]}"
2_0,0.26083332,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.65923446063127,32.557191684701756]}"
3_0,0.3325,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.8511237538829,36.64003465102498]}"
4_0,0.30416667,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.44725492498831,25.150582167136303]}"
5_0,0.104166664,"{""geodesic"":false,""type"":""Point"",""coordinates"":[91.36989333600684,8.670988279963682]}"
6_0,0.23,"{""geodesic"":false,""type"":""Point"",""coordinates"":[68.20234215856438,30.65725485878897]}"
7_0,0.155,"{""geodesic"":false,""type"":""Point"",""coordinates"":[68.79523024608326,9.93312125415161]}"
8_0,0.4125,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.67308223885226,29.952077360755148]}"
9_0,0.28666666,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.26597032637115,24.157943778184233]}"
10_0,0.12166667,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.78436685953588,21.368674820993117]}"
11_0,0.2475,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.5552964620854,32.56617483754295]}"
12_0,0.32166666,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.76004373263689,35.014083986768654]}"
13_0,0.21416667,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.49902990532657,18.00897565838611]}"
14_0,0.055833332,"{""geodesic"":false,""type"":""Point"",""coordinates"":[96.36003473929078,12.848154351119456]}"
15_0,0.1375,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.07956241046125,20.398494314144035]}"
16_0,0.17,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.00931872952496,22.078343895447542]}"
17_0,0.1125,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.15679465348627,11.370425708742843]}"
18_0,0.11416667,"{""geodesic"":false,""type"":""Point"",""coordinates"":[95.0170533895321,9.497438341353641]}"
19_0,0.3475,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.06222784565098,18.45813330044587]}"
20_0,0.26583335,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.06796791490565,35.076966056657014]}"
21_0,0.285,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.55255577341453,35.1084070916012]}"
22_0,1.0541667,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.91400582377126,19.7112831217926]}"
23_0,0.25166667,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.19697513826891,35.46324162882841]}"
24_0,0.135,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.06222784565098,14.98165315090332]}"
25_0,0.095,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.41081991870787,14.599869155152524]}"
26_0,0.15333334,"{""geodesic"":false,""type"":""Point"",""coordinates"":[68.85362073955103,6.744101995527308]}"
